event_id,source_type,source,source_url,city,date,title_or_name,lat,lon,severity,frequency_tier,extraction_method,confidence
mumbai-hs007,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Chunabhatti,19.05209,72.86741,chronic,chronic,curated+geocoded,high
mumbai-hs008,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Bandra Kurla Complex (BKC),19.06066,72.85468,recurring,recurring,curated+geocoded,medium
mumbai-hs011,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Kurar,19.18782,72.8642,recurring,recurring,curated+geocoded,medium
mumbai-hs012,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Postal Colony,19.06074,72.89497,recurring,recurring,curated+geocoded,medium
mumbai-hs013,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Worli Naka,18.98697,72.82855,recurring,recurring,curated+geocoded,medium
mumbai-hs014,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Byculla,18.97662,72.83279,recurring,recurring,curated+geocoded,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Heavy rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Dam release and Heavy  Rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Heavy Rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal Rain),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Tropical Storm Hudhug),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,mumbai,,DFO flood (Monsoonal Rain and Tropical Storm K),,,2,,gee_global_flood_db,medium
